epoch,train_loss,val_loss,val_f1,val_mae
1,0.3219,0.2817,0.1343,0.54;0.62;0.53;0.40;0.64;0.51;0.76;0.70;0.83;0.66;0.68;0.77;0.53
2,0.3011,0.3329,0.2569,0.64;0.66;0.67;0.58;0.67;0.45;0.76;0.74;0.84;0.45;0.87;0.85;0.85
3,0.2881,0.3827,0.2725,0.53;0.62;0.51;0.40;0.61;0.83;0.76;0.63;0.83;1.49;0.78;0.75;0.52
4,0.2812,0.3502,0.2655,0.41;0.53;0.48;0.39;0.63;0.54;0.75;0.62;0.81;1.09;0.73;0.79;0.78
5,0.2703,0.2980,0.2243,0.61;0.58;0.56;0.46;0.62;0.42;0.74;0.75;0.84;0.44;0.69;0.76;0.61
6,0.2559,0.3028,0.2464,0.45;0.55;0.48;0.44;0.56;0.44;0.77;0.67;0.88;0.44;0.81;0.66;0.75
7,0.2387,0.4247,0.2660,0.49;0.55;0.48;0.37;0.59;1.02;0.78;0.70;1.05;1.95;0.55;0.73;0.43
8,0.2384,0.3216,0.2930,0.56;0.58;0.76;0.76;0.61;0.57;0.82;0.78;0.84;0.45;0.54;0.70;0.33
9,0.2274,0.3071,0.2622,0.79;0.56;0.65;0.65;0.64;0.47;0.73;0.80;0.78;0.60;0.56;0.75;0.41
10,0.2166,0.2718,0.2831,0.45;0.50;0.46;0.45;0.60;0.52;0.76;0.62;0.79;0.75;0.58;0.74;0.52
11,0.2089,0.4937,0.3058,0.39;0.53;0.44;0.38;0.62;0.50;0.77;0.69;0.79;1.29;1.60;1.06;1.54
12,0.2046,0.2512,0.3562,0.47;0.48;0.43;0.45;0.59;0.46;0.72;0.62;0.76;0.53;0.41;0.71;0.50
13,0.1929,0.2846,0.3050,0.51;0.47;0.41;0.61;0.62;0.52;0.78;0.77;0.81;0.51;0.58;0.69;0.53
14,0.1879,0.2696,0.3539,0.52;0.42;0.38;0.54;0.62;0.54;0.72;0.75;0.70;0.61;0.52;0.67;0.39
15,0.1847,0.2624,0.4042,0.43;0.42;0.50;0.41;0.58;0.46;0.78;0.75;0.81;0.41;0.55;0.68;0.49
16,0.1806,0.3272,0.2940,0.44;0.50;0.45;0.37;0.58;0.46;0.78;0.67;0.76;0.35;1.33;0.66;0.75
17,0.1785,0.2740,0.3930,0.44;0.46;0.46;0.37;0.66;0.52;0.85;0.61;0.60;0.80;0.50;0.74;0.66
18,0.1684,0.3165,0.3487,0.43;0.52;0.43;0.46;0.59;0.66;0.85;0.65;0.71;1.09;0.54;0.72;0.44
19,0.1648,0.2889,0.3813,0.44;0.46;0.43;0.41;0.63;0.53;0.85;0.60;0.64;1.03;0.52;0.73;0.42
20,0.1603,0.2673,0.4393,0.55;0.29;0.35;0.50;0.62;0.57;0.76;0.74;0.71;0.34;0.59;0.78;0.58
21,0.1582,0.3268,0.3856,0.75;0.55;0.88;0.57;0.61;0.44;0.72;0.78;0.80;0.34;0.48;0.84;0.68
22,0.1540,0.3334,0.4572,0.50;0.42;0.34;0.38;0.66;1.26;0.81;0.65;0.68;0.79;0.56;0.77;0.76
23,0.1434,0.3152,0.4574,0.70;0.42;0.43;0.60;0.66;0.67;0.88;0.69;0.69;0.51;0.59;0.69;0.76
24,0.1406,0.2979,0.4430,0.50;0.41;0.34;0.40;0.68;0.64;0.82;0.58;0.63;1.03;0.45;0.76;0.67
25,0.1409,0.3770,0.4148,0.43;0.53;0.60;0.35;0.53;1.24;0.78;0.62;0.60;0.78;1.13;0.70;0.55
26,0.1369,0.3395,0.4605,0.47;0.47;0.39;0.60;0.76;1.36;0.78;0.66;0.59;0.73;0.53;0.73;0.60
27,0.1315,0.3008,0.3981,0.46;0.44;0.37;0.63;0.61;0.96;0.75;0.72;0.68;0.42;0.51;0.68;0.46
28,0.1316,0.2707,0.4439,0.62;0.47;0.51;0.44;0.61;0.44;0.75;0.75;0.70;0.48;0.50;0.73;0.50
29,0.1248,0.2801,0.4736,0.57;0.38;0.42;0.37;0.60;0.44;0.73;0.70;0.76;0.32;0.43;0.65;0.93
30,0.1252,0.2582,0.5145,0.66;0.48;0.48;0.50;0.66;0.43;0.74;0.70;0.60;0.34;0.43;0.62;0.63
31,0.1152,0.2587,0.4702,0.48;0.42;0.31;0.31;0.60;0.46;0.81;0.71;0.63;0.71;0.42;0.66;0.45
32,0.1190,0.2579,0.4364,0.53;0.46;0.37;0.30;0.59;0.43;0.87;0.71;0.64;0.42;0.47;0.67;0.43
33,0.1133,0.2723,0.4045,0.51;0.42;0.36;0.40;0.61;0.92;0.78;0.62;0.61;0.38;0.48;0.67;0.60
34,0.1096,0.3387,0.4195,0.95;0.38;0.48;0.86;0.57;0.47;0.71;0.58;0.79;0.36;0.47;0.73;1.02
35,0.1057,0.2563,0.5401,0.51;0.43;0.37;0.36;0.57;0.38;0.75;0.69;0.58;0.44;0.51;0.75;0.89
36,0.1039,0.2973,0.4748,0.59;0.45;0.36;0.32;0.58;0.50;0.70;0.67;0.50;0.28;1.02;0.55;1.19
37,0.1074,0.2663,0.5525,0.50;0.39;0.36;0.34;0.77;0.47;0.78;0.68;0.78;0.71;0.52;0.78;0.46
38,0.1025,0.3250,0.5318,0.60;0.53;0.41;0.79;0.72;1.16;0.78;0.69;0.61;0.39;0.47;0.87;0.51
39,0.0986,0.2430,0.4936,0.62;0.43;0.40;0.35;0.58;0.43;0.70;0.71;0.52;0.36;0.40;0.54;0.73
40,0.0969,0.2685,0.4651,0.66;0.40;0.55;0.40;0.56;0.37;0.75;0.65;0.75;0.26;0.40;0.55;0.76
41,0.0983,0.2548,0.5025,0.57;0.38;0.37;0.49;0.60;0.43;0.82;0.70;0.58;0.60;0.42;0.67;0.38
42,0.0981,0.2480,0.4834,0.62;0.45;0.41;0.35;0.61;0.35;0.77;0.61;0.51;0.43;0.39;0.52;0.68
43,0.0947,0.2604,0.5220,0.77;0.47;0.39;0.50;0.57;0.35;0.74;0.85;0.62;0.32;0.36;0.63;0.35
44,0.0877,0.2424,0.5722,0.60;0.51;0.56;0.63;0.49;0.43;0.80;0.65;0.57;0.24;0.35;0.54;0.72
45,0.0874,0.2137,0.5698,0.60;0.42;0.36;0.37;0.51;0.36;0.79;0.61;0.51;0.53;0.36;0.59;0.37
46,0.0867,0.2286,0.5443,0.63;0.42;0.45;0.35;0.59;0.32;0.73;0.61;0.48;0.32;0.37;0.63;0.67
47,0.0830,0.2201,0.5313,0.57;0.37;0.37;0.27;0.57;0.42;0.80;0.60;0.47;0.39;0.31;0.57;0.48
48,0.0815,0.2098,0.5647,0.52;0.40;0.36;0.30;0.53;0.34;0.76;0.66;0.58;0.36;0.41;0.54;0.47
49,0.0807,0.2268,0.5208,0.67;0.35;0.35;0.35;0.56;0.37;0.77;0.67;0.51;0.38;0.35;0.53;0.66
50,0.0799,0.2051,0.5896,0.57;0.44;0.37;0.31;0.50;0.34;0.70;0.78;0.45;0.34;0.37;0.50;0.46
51,0.0814,0.2343,0.5892,0.68;0.38;0.40;0.29;0.48;0.31;0.71;0.61;0.50;0.38;0.58;0.51;0.83
52,0.0790,0.2310,0.5639,0.55;0.39;0.37;0.33;0.50;0.39;0.68;0.58;0.46;0.43;0.37;0.50;0.88
53,0.0773,0.1874,0.6185,0.49;0.39;0.37;0.32;0.48;0.37;0.66;0.65;0.52;0.33;0.43;0.46;0.39
54,0.0769,0.2116,0.5023,0.62;0.37;0.41;0.34;0.56;0.41;0.74;0.64;0.45;0.34;0.28;0.59;0.40
55,0.0796,0.1944,0.5953,0.58;0.40;0.36;0.35;0.52;0.34;0.65;0.65;0.38;0.35;0.40;0.48;0.42
56,0.0770,0.2015,0.5950,0.61;0.40;0.36;0.27;0.53;0.34;0.71;0.61;0.41;0.38;0.38;0.50;0.47
57,0.0768,0.2236,0.5862,0.51;0.40;0.39;0.29;0.53;0.35;0.80;0.63;0.46;0.32;0.38;0.61;0.59
58,0.0756,0.2348,0.5755,0.60;0.36;0.38;0.25;0.51;0.35;0.77;0.81;0.54;0.65;0.40;0.52;0.27
59,0.0724,0.1834,0.5992,0.61;0.37;0.39;0.32;0.51;0.32;0.66;0.59;0.45;0.28;0.33;0.53;0.42
60,0.0696,0.1959,0.5800,0.65;0.41;0.42;0.30;0.48;0.27;0.66;0.62;0.46;0.37;0.41;0.53;0.42
61,0.0669,0.1964,0.5926,0.58;0.37;0.35;0.30;0.50;0.33;0.64;0.58;0.43;0.31;0.37;0.47;0.60
62,0.0660,0.2280,0.5717,0.52;0.34;0.37;0.28;0.45;0.50;0.79;0.68;0.50;0.74;0.42;0.56;0.40
63,0.0680,0.2229,0.5610,0.66;0.37;0.32;0.47;0.52;0.36;0.58;0.69;0.58;0.39;0.36;0.47;0.55
64,0.0645,0.1981,0.5959,0.66;0.36;0.38;0.36;0.52;0.30;0.64;0.59;0.50;0.34;0.35;0.51;0.48
65,0.0640,0.1945,0.6358,0.63;0.36;0.35;0.49;0.45;0.34;0.70;0.65;0.32;0.29;0.44;0.41;0.45
66,0.0686,0.1672,0.6597,0.53;0.43;0.35;0.35;0.44;0.34;0.62;0.64;0.38;0.34;0.37;0.46;0.28
67,0.0650,0.1696,0.6378,0.62;0.37;0.34;0.43;0.49;0.29;0.60;0.55;0.37;0.25;0.36;0.39;0.50
68,0.0662,0.1880,0.6392,0.64;0.40;0.32;0.32;0.54;0.28;0.58;0.67;0.48;0.26;0.39;0.41;0.51
69,0.0619,0.1984,0.6122,0.66;0.39;0.38;0.36;0.49;0.30;0.72;0.66;0.43;0.33;0.36;0.49;0.44
70,0.0632,0.1913,0.6276,0.59;0.46;0.36;0.29;0.55;0.25;0.67;0.66;0.35;0.41;0.39;0.51;0.42
71,0.0627,0.1785,0.6144,0.56;0.44;0.34;0.36;0.46;0.30;0.60;0.67;0.36;0.30;0.35;0.42;0.38
72,0.0639,0.1770,0.6236,0.63;0.41;0.35;0.42;0.49;0.31;0.62;0.63;0.37;0.29;0.32;0.41;0.30
73,0.0621,0.1808,0.6124,0.65;0.39;0.37;0.30;0.45;0.27;0.62;0.70;0.30;0.26;0.34;0.40;0.52
74,0.0593,0.1793,0.6554,0.70;0.35;0.36;0.36;0.45;0.32;0.55;0.73;0.41;0.31;0.32;0.47;0.26
75,0.0627,0.1710,0.6248,0.59;0.38;0.35;0.36;0.40;0.30;0.66;0.60;0.45;0.31;0.33;0.44;0.37
76,0.0593,0.1610,0.6541,0.58;0.33;0.31;0.41;0.45;0.38;0.55;0.60;0.42;0.26;0.30;0.39;0.30
77,0.0611,0.1731,0.6621,0.58;0.37;0.36;0.37;0.46;0.32;0.56;0.59;0.40;0.37;0.33;0.43;0.40
78,0.0553,0.1861,0.6271,0.64;0.34;0.29;0.40;0.42;0.63;0.62;0.61;0.42;0.24;0.39;0.38;0.35
79,0.0566,0.1989,0.6073,0.65;0.33;0.35;0.44;0.47;0.32;0.62;0.64;0.44;0.31;0.38;0.55;0.30
80,0.0584,0.1824,0.6404,0.62;0.42;0.33;0.51;0.52;0.30;0.54;0.64;0.32;0.34;0.30;0.40;0.38
81,0.0578,0.1888,0.6068,0.65;0.34;0.35;0.44;0.45;0.28;0.65;0.65;0.53;0.30;0.27;0.41;0.36
82,0.0562,0.1922,0.5787,0.66;0.38;0.39;0.28;0.49;0.31;0.59;0.62;0.38;0.26;0.34;0.49;0.55
83,0.0580,0.1771,0.6276,0.67;0.34;0.33;0.31;0.48;0.27;0.54;0.66;0.37;0.34;0.33;0.50;0.33
84,0.0560,0.1808,0.6528,0.60;0.31;0.39;0.46;0.42;0.35;0.68;0.64;0.32;0.36;0.29;0.47;0.37
85,0.0561,0.1781,0.6522,0.57;0.39;0.34;0.43;0.49;0.36;0.71;0.62;0.35;0.30;0.33;0.43;0.26
86,0.0534,0.1720,0.6441,0.56;0.30;0.30;0.29;0.42;0.25;0.63;0.71;0.37;0.47;0.36;0.41;0.30
87,0.0542,0.1775,0.6409,0.68;0.34;0.31;0.38;0.45;0.26;0.63;0.67;0.36;0.27;0.33;0.45;0.34
88,0.0515,0.1748,0.6173,0.65;0.32;0.31;0.37;0.48;0.28;0.55;0.64;0.41;0.25;0.31;0.40;0.49
89,0.0519,0.1655,0.6569,0.60;0.43;0.32;0.40;0.47;0.28;0.60;0.63;0.31;0.28;0.34;0.43;0.36
90,0.0517,0.1798,0.6405,0.67;0.38;0.35;0.41;0.49;0.28;0.52;0.70;0.37;0.25;0.31;0.43;0.40
91,0.0517,0.2043,0.6277,0.74;0.46;0.35;0.61;0.43;0.31;0.60;0.69;0.35;0.33;0.33;0.45;0.40
92,0.0509,0.1719,0.6734,0.62;0.32;0.33;0.32;0.43;0.27;0.64;0.66;0.29;0.32;0.33;0.44;0.43
93,0.0505,0.1878,0.6276,0.71;0.36;0.34;0.40;0.44;0.32;0.58;0.70;0.32;0.30;0.30;0.45;0.45
94,0.0498,0.1904,0.6260,0.55;0.37;0.32;0.28;0.47;0.31;0.63;0.72;0.37;0.33;0.36;0.41;0.54
95,0.0503,0.1614,0.6480,0.57;0.31;0.30;0.26;0.41;0.30;0.62;0.69;0.29;0.32;0.32;0.39;0.34
96,0.0495,0.1705,0.6421,0.57;0.27;0.31;0.31;0.43;0.28;0.63;0.69;0.31;0.38;0.33;0.44;0.46
97,0.0482,0.1780,0.6363,0.59;0.37;0.32;0.34;0.40;0.26;0.73;0.65;0.32;0.32;0.37;0.46;0.38
98,0.0484,0.1647,0.6590,0.58;0.39;0.27;0.27;0.50;0.21;0.59;0.61;0.33;0.33;0.39;0.39;0.39
99,0.0471,0.1710,0.6612,0.66;0.36;0.35;0.31;0.46;0.24;0.54;0.68;0.27;0.25;0.34;0.48;0.44
100,0.0460,0.1667,0.6800,0.61;0.31;0.32;0.39;0.43;0.25;0.55;0.64;0.27;0.25;0.28;0.42;0.50
